Original,Refactoring,Time,Improvement,Original Score,Refactoring Score
((A<->(B&!C))|(C&!D)),((A<->(B&!C))|(C&!D)),0.109,1.0,30.8,30.8
!((!A<->(B|!C))|(!C&!D)),(!(!A<->!(!B&C))&(C|D)),0.113,0.8541517963359505,42.03,35.9
((!A<->(B|!C))&(!C&!D)),((!A<->(B|!C))&!C&!D),0.043,0.9213797389683035,32.18,29.650000000000006
((A<->(B&C&D&!E))|(E&!F)),((A<->(B&C&D&!E))|(E&!F)),0.154,1.0,31.96,31.96
!((A<->(!B&C&!D&E))|!(!E&!F)),(!(A<->!(B|!C|D|!E))&!E&!F),0.121,0.8582695984703631,41.839999999999996,35.90999999999999
((A<->(!B&C&!D&E))&!(!E&!F)),((A<->(!B&C&!D&E))&(E|F)),0.104,0.8853185595567868,36.099999999999994,31.96
((!A&!B&!C)|(!A&!B&!D)|(!A&!C&!D)|(!B&!C&!D)),(((A&C)|B|D)->(!A&(!B|!D)&!C)),0.088,0.9082957858468064,37.73,34.27
!((!A|!B|!C)|(A|B|!D)|(!A|!C|!D)|!(B|C|D)),(A&!A&B&!B&(B|C|D)&C&D),0.032,0.4927801971120788,43.63,21.5
((!A|!B|!C)&(A|B|!D)&(!A|!C|!D)&!(B|C|D)),!((A&B&C)|!(A|B|!D)|(A&C&D)|B|C|D),0.082,0.8329571106094809,39.87,33.21
((A&B&C)->!(D|E)),(!A|!B|!C|(!D&!E)),0.005,0.8116883116883116,26.180000000000003,21.25
!((!A&B&!C)->!(!D|!E)),(!A&B&!C&(!D|!E)),0.023,0.6864774624373957,29.950000000000003,20.560000000000002
(!(A|B)->!(C|D|(E&F))),((C|D|(E&F))->(A|B)),0.077,0.7211111111111111,36.0,25.96
!(!(!A|!B)->(!C|!D|!(E&F))),(A&B&C&D&E&F),0.007,0.3037465426200654,39.769999999999996,12.08
!(!(!A|!B)->(!C|!D|!(E&F))),(A&B&C&D&E&F),0.007,0.3037465426200654,39.769999999999996,12.08
(A->(!B&!C&D)),(!A|(!B&!C&D)),0.014,0.9377734564900342,20.57,19.290000000000003
!(A->(B|!C|!D)),(A&!B&C&D),0.014,0.49851961509992593,27.020000000000003,13.47
((A&B&!C&!D&!E)->!F),(!A|!B|C|D|E|!F),0.024,0.7144093466032023,23.11,16.510000000000005
!(!(A|!B|!C|D|!E)->F),(!A&B&C&!D&E&!F),0.023,0.5713775874375449,28.02,16.010000000000005
!(!(A|!B|!C|D|!E)->F),(!A&B&C&!D&E&!F),0.021,0.5713775874375449,28.02,16.010000000000005
((A<->(B&C&!D))|(D&!E)),((A<->(B&C&!D))|(D&!E)),0.166,1.0,31.38,31.38
